s,kW,kW
Time,qdot1,qdot2
 4.0013721E+002, 1.4813946E+000, 1.0906805E+001
 4.0108390E+002, 1.4813915E+000, 1.0908947E+001
 4.0203060E+002, 1.4813892E+000, 1.0910927E+001
 4.0329286E+002, 1.4813869E+000, 1.0912558E+001
 4.0423956E+002, 1.4813839E+000, 1.0913276E+001
 4.0518626E+002, 1.4813804E+000, 1.0912935E+001
 4.0613295E+002, 1.4813770E+000, 1.0911787E+001
 4.0707965E+002, 1.4813729E+000, 1.0909960E+001
 4.0802635E+002, 1.4813675E+000, 1.0907446E+001
 4.0928861E+002, 1.4813592E+000, 1.0903562E+001
 4.1023531E+002, 1.4813482E+000, 1.0899171E+001
 4.1118200E+002, 1.4813370E+000, 1.0895667E+001
 4.1212870E+002, 1.4813247E+000, 1.0892478E+001
 4.1307540E+002, 1.4813134E+000, 1.0889286E+001
 4.1402210E+002, 1.4813175E+000, 1.0886128E+001
 4.1528436E+002, 1.4813150E+000, 1.0882945E+001
 4.1623105E+002, 1.4813066E+000, 1.0880509E+001
 4.1717775E+002, 1.4812943E+000, 1.0878707E+001
 4.1812445E+002, 1.4812752E+000, 1.0876571E+001
 4.1907115E+002, 1.4812492E+000, 1.0873859E+001
 4.2001784E+002, 1.4812160E+000, 1.0870875E+001
 4.2128010E+002, 1.4811718E+000, 1.0867674E+001
 4.2222680E+002, 1.4811282E+000, 1.0865211E+001
 4.2317350E+002, 1.4810872E+000, 1.0863543E+001
 4.2412020E+002, 1.4810438E+000, 1.0861856E+001
 4.2506689E+002, 1.4810068E+000, 1.0859995E+001
 4.2601359E+002, 1.4809767E+000, 1.0858446E+001
 4.2727585E+002, 1.4809411E+000, 1.0857887E+001
 4.2822255E+002, 1.4809065E+000, 1.0858687E+001
 4.2916925E+002, 1.4808782E+000, 1.0860058E+001
 4.3011594E+002, 1.4808520E+000, 1.0861607E+001
 4.3106264E+002, 1.4808337E+000, 1.0863370E+001
 4.3200934E+002, 1.4808191E+000, 1.0865581E+001
 4.3327160E+002, 1.4808040E+000, 1.0869190E+001
 4.3421830E+002, 1.4807909E+000, 1.0873889E+001
 4.3516499E+002, 1.4807806E+000, 1.0878576E+001
 4.3611169E+002, 1.4807695E+000, 1.0883266E+001
 4.3705839E+002, 1.4807564E+000, 1.0887114E+001
 4.3800508E+002, 1.4807410E+000, 1.0889535E+001
 4.3926735E+002, 1.4807188E+000, 1.0890643E+001
 4.4021404E+002, 1.4806991E+000, 1.0890877E+001
 4.4116074E+002, 1.4806918E+000, 1.0890984E+001
 4.4210744E+002, 1.4806812E+000, 1.0891243E+001
 4.4305413E+002, 1.4806661E+000, 1.0891392E+001
 4.4400083E+002, 1.4806462E+000, 1.0891174E+001
 4.4526309E+002, 1.4806257E+000, 1.0890173E+001
 4.4620979E+002, 1.4806151E+000, 1.0888329E+001
 4.4715649E+002, 1.4806133E+000, 1.0886248E+001
 4.4810318E+002, 1.4806065E+000, 1.0884278E+001
