m,Pa
p-x,p
 6.6916375E+002, 1.7964921E+001
 6.7016250E+002, 1.7948432E+001
 6.7116125E+002, 1.7948432E+001
 6.7216000E+002, 1.7931896E+001
 6.7315875E+002, 1.7931896E+001
 6.7415750E+002, 1.7913774E+001
 6.7515625E+002, 1.7913774E+001
 6.7615500E+002, 1.7897323E+001
 6.7715375E+002, 1.7897323E+001
 6.7815250E+002, 1.7879856E+001
 6.7915125E+002, 1.7879856E+001
 6.8015000E+002, 1.7862600E+001
 6.8114875E+002, 1.7862600E+001
 6.8214750E+002, 1.7846447E+001
 6.8314625E+002, 1.7846447E+001
 6.8414500E+002, 1.7829080E+001
 6.8514375E+002, 1.7829080E+001
 6.8614250E+002, 1.7812521E+001
 6.8714125E+002, 1.7812521E+001
 6.8814000E+002, 1.7795534E+001
 6.8913875E+002, 1.7795534E+001
 6.9013750E+002, 1.7778410E+001
 6.9113625E+002, 1.7778410E+001
 6.9213500E+002, 1.7763407E+001
 6.9313375E+002, 1.7763407E+001
 6.9413250E+002, 1.7748368E+001
